device,path,url,title,performance,accessibility,best_practices,seo,categories_under_70,lcp,fcp,tbt,cls,speed_index,indexable
desktop,/,https://azmortgage.vercel.app/,Arizona Mortgage Brothers | Phoenix Home Loan Broker,42,100,100,69,performance|seo,2.5 s,1.4 s,"5,070 ms",0,9.1 s,no
desktop,/arizona-mortgage-closing-costs/,https://azmortgage.vercel.app/arizona-mortgage-closing-costs/,Arizona Mortgage Closing Costs,45,96,100,69,performance|seo,2.4 s,1.1 s,"5,420 ms",0,9.7 s,no
desktop,/mortgage-101/,https://azmortgage.vercel.app/mortgage-101/,Mortgage 101: Your Guide to Home Financing,90,96,100,61,seo,1.9 s,1.1 s,0 ms,0,1.1 s,no
mobile,/mortgage-101/,https://azmortgage.vercel.app/mortgage-101/,Mortgage 101: Your Guide to Home Financing,100,96,100,61,seo,1.7 s,1.0 s,0 ms,0,1.0 s,no
desktop,/air-conditionings-impact-phoenix-valley-real-estate/,https://azmortgage.vercel.app/air-conditionings-impact-phoenix-valley-real-estate/,Air Conditioning’s Impact on Phoenix Valley Real Estate,74,96,100,69,seo,2.4 s,1.4 s,0 ms,0,8.4 s,no
desktop,/arizona-binsr-buyer-inspection-notice-and-seller-response/,https://azmortgage.vercel.app/arizona-binsr-buyer-inspection-notice-and-seller-response/,Arizona BINSR Buyer Inspection Notice &amp; Seller Response,73,96,100,69,seo,2.6 s,1.4 s,10 ms,0,4.9 s,no
desktop,/arizona-home-buying-process/,https://azmortgage.vercel.app/arizona-home-buying-process/,Arizona Home Buying Process,72,96,100,69,seo,2.4 s,1.6 s,0 ms,0,8.3 s,no
desktop,/arizona-mortgage-approval-process/,https://azmortgage.vercel.app/arizona-mortgage-approval-process/,Learn About the Home Mortgage Approval Process,86,96,100,69,seo,2.1 s,1.2 s,10 ms,0,1.3 s,no
desktop,/arizona-mortgage-basics/,https://azmortgage.vercel.app/arizona-mortgage-basics/,Arizona Mortgage Basics,87,96,100,69,seo,2.0 s,1.1 s,0 ms,0,1.4 s,no
desktop,/arizona-mortgage-closing-process/,https://azmortgage.vercel.app/arizona-mortgage-closing-process/,Arizona Mortgage Closing Process,89,96,100,69,seo,1.9 s,1.1 s,0 ms,0,1.1 s,no
